latitude,longitude,HELCOM_ID,Year_adj_generated,group_labels,transparency_m
57.3,23.85,SEA-011,2004,winter,3.375
57.0833,24.0017,LAT-005,2004,winter,2
57.1,23.9833,LAT-005,2004,winter,1.85
57.128166,23.808,LAT-005,2004,winter,1.4
57.1667,23.6667,SEA-011,2004,winter,3
57.4,23.4833,SEA-011,2004,winter,3.5
57.35,24.0833,SEA-011,2004,winter,2.8
57.0833,24.0017,LAT-005,2004,spring,1.52
57.1243,23.9565,LAT-005,2004,spring,3
57.1,23.9833,LAT-005,2004,spring,1.73333333333333
57.1667,23.9333,LAT-005,2004,spring,2.4
57.1667,23.6667,SEA-011,2004,spring,2.35
57.4,23.4833,SEA-011,2004,spring,3.4
57.5667,22.9833,SEA-011,2004,spring,3.75
57.6,24.1167,SEA-011,2004,spring,3.33333333333333
57.35,24.0833,SEA-011,2004,spring,3.33333333333333
57.3,23.85,SEA-011,2004,spring,2.7
57.0838,24.0005,LAT-005,2004,spring,0.7
57.0883,24.0083,LAT-005,2004,spring,0.8
57.0895,24.011,LAT-005,2004,spring,0.8
57.092,24.0147,LAT-005,2004,spring,0.8
57.1052,24.0057,LAT-005,2004,spring,0.9
57.1275,23.9805,LAT-005,2004,spring,1
57.1467,23.9537,LAT-005,2004,spring,1
57.155,23.9433,LAT-005,2004,spring,1
57.1642,23.935,LAT-005,2004,spring,1.1
57.1748,23.9355,LAT-005,2004,spring,1.1
57.2698,23.8573,SEA-011,2004,spring,1.5
57.2898,23.8458,SEA-011,2004,spring,1.2
57.3538,23.8143,SEA-011,2004,spring,1.4
57.3908,23.7848,SEA-011,2004,spring,2
57.3788,23.6805,SEA-011,2004,spring,2.3
57.3673,23.697,SEA-011,2004,spring,2
57.3005,23.7785,SEA-011,2004,spring,1.7
57.2785,23.8025,SEA-011,2004,spring,1.7
57.2407,23.8378,SEA-011,2004,spring,1.7
57.2,23.8805,LAT-005,2004,spring,1
57.1453,23.937,LAT-005,2004,spring,1
57.1087,23.9668,LAT-005,2004,spring,0.8
57.5333,22.8167,LAT-003,2004,spring,3.75
57.4167,23.7667,SEA-011,2004,spring,2.8
57.6167,23.6167,SEA-011,2004,spring,2.45
57.0986,24.097,LAT-005,2004,spring,1.9
57.1683,24.25,LAT-005,2004,spring,1.9
57.1833,24.2167,LAT-005,2004,spring,2.55
57.24,24.3667,LAT-005,2004,spring,2
57.315,24.3733,LAT-004,2004,spring,1.8
57.4483,24.3533,LAT-004,2004,spring,1.85
57.5933,24.3367,LAT-004,2004,spring,2.1
57.5922,24.2976,SEA-011,2004,spring,2.3
57.7467,24.315,LAT-004,2004,spring,2.5
57.7663,24.2005,SEA-011,2004,spring,2.7
57.856,24.3085,LAT-004,2004,spring,2.8
57.88,24.2433,SEA-011,2004,spring,2.8
57.8827,24.0665,SEA-011,2004,spring,3
57.85,23.9167,SEA-011,2004,spring,3.1
57.0737,23.9792,LAT-005,2004,spring,2.5
57.8433,22.41,SEA-011,2004,spring,4
57.7976,22.8833,SEA-011,2004,spring,4.2
57.7333,22.6167,LAT-003,2004,spring,4.8
57.3967,23.07,LAT-004,2004,spring,3.2
57.3331,23.2508,SEA-011,2004,spring,3.2
57.3268,23.1765,LAT-004,2004,spring,3
57.1682,23.3267,SEA-011,2004,spring,2.9
57.1667,23.254,LAT-003,2004,spring,2.8
57.0467,23.4867,LAT-003,2004,spring,2.8
56.9767,23.705,LAT-005,2004,spring,2.9
56.98,23.7433,LAT-005,2004,spring,3
57.0862,23.8129,LAT-005,2004,spring,3.2
57.055,23.8883,LAT-005,2004,spring,3.1
57.025,23.92,LAT-005,2004,spring,2.7
57.0433,23.9683,LAT-005,2004,spring,2.5
57.0833,24.0017,LAT-005,2004,summer,2
57.1,23.9833,LAT-005,2004,summer,2.43333333333333
57.1683,24.25,LAT-005,2004,summer,2.43333333333333
57.315,24.3733,LAT-004,2004,summer,2.7
57.4483,24.3533,LAT-004,2004,summer,2.95
57.4415,24.2717,SEA-011,2004,summer,2.8
57.35,24.0833,SEA-011,2004,summer,2.9
57.3,23.85,SEA-011,2004,summer,2.9
57.1667,23.6667,SEA-011,2004,summer,2.8
57.0467,23.4867,LAT-003,2004,summer,2.25
57.025,23.92,LAT-005,2004,summer,2
57.6,24.1167,SEA-011,2004,summer,3.05
57.7333,22.6167,LAT-003,2004,summer,3.5
57.7976,22.8833,SEA-011,2004,summer,3
57.8433,22.41,SEA-011,2004,summer,3.5
57.5333,22.8167,LAT-003,2004,summer,3
57.5667,22.9833,SEA-011,2004,summer,3
57.3967,23.07,LAT-004,2004,summer,2.6
57.3268,23.1765,LAT-004,2004,summer,2.8
57.4,23.4833,SEA-011,2004,summer,2.6
57.1667,23.254,LAT-003,2004,summer,2.4
57.5933,24.3367,LAT-004,2004,summer,2.6
57.7467,24.315,LAT-004,2004,summer,2.4
57.856,24.3085,LAT-004,2004,summer,2.3
57.88,24.2433,SEA-011,2004,summer,2.5
57.8827,24.0665,SEA-011,2004,summer,3.2
57.85,23.9167,SEA-011,2004,summer,3.2
57.6167,23.6167,SEA-011,2004,summer,3.2
57.24,24.3667,LAT-005,2004,summer,2.9
57.0986,24.097,LAT-005,2004,summer,2.6
57.0737,23.9792,LAT-005,2004,summer,2.1
57.0433,23.9683,LAT-005,2004,summer,2.5
56.98,23.7433,LAT-005,2004,summer,2
56.9767,23.705,LAT-005,2004,summer,2
57.1667,23.9333,LAT-005,2004,summer,3
57.0833,24.0017,LAT-005,2004,autumn,2.6
57.1,23.9833,LAT-005,2004,autumn,2.775
57.0986,24.097,LAT-005,2004,autumn,2.53333333333333
57.1683,24.25,LAT-005,2004,autumn,2.1
57.24,24.3667,LAT-005,2004,autumn,2.65
57.315,24.3733,LAT-004,2004,autumn,2.7
57.1667,23.6667,SEA-011,2004,autumn,3.6
57.4,23.4833,SEA-011,2004,autumn,3.9
57.5667,22.9833,SEA-011,2004,autumn,3.73333333333333
57.5333,22.8167,LAT-003,2004,autumn,3
57.3967,23.07,LAT-004,2004,autumn,2.9
57.0467,23.4867,LAT-003,2004,autumn,2.825
56.98,23.7433,LAT-005,2004,autumn,3.1
57.025,23.92,LAT-005,2004,autumn,2.575
57.0433,23.9683,LAT-005,2004,autumn,2.5
57.0737,23.9792,LAT-005,2004,autumn,2.73333333333333
57.5933,24.3367,LAT-004,2004,autumn,3.15
57.6,24.1167,SEA-011,2004,autumn,4.1
57.6167,23.6167,SEA-011,2004,autumn,5
56.9767,23.705,LAT-005,2004,autumn,2.95
57.7333,22.6167,LAT-003,2004,autumn,3.8
57.7976,22.8833,SEA-011,2004,autumn,3.6
57.1667,23.9333,LAT-005,2004,autumn,4.1
57.3,23.85,SEA-011,2004,autumn,4.5
57.4167,23.7667,SEA-011,2004,autumn,4.8
57.88,24.2433,SEA-011,2004,autumn,2
57.4483,24.3533,LAT-004,2004,autumn,3.7
57.3268,23.1765,LAT-004,2004,autumn,2.5
57.1667,23.254,LAT-003,2004,autumn,2.3
57.3,23.85,SEA-011,2005,winter,2.35
57.1667,23.6667,SEA-011,2005,winter,2.7
57.0467,23.4867,LAT-003,2005,winter,2.3
57.025,23.92,LAT-005,2005,winter,1.65
57.0833,24.0017,LAT-005,1996,spring,1.9
57.1,23.9833,LAT-005,1996,spring,2
57.025,23.92,LAT-005,1996,spring,2.2
57.5667,22.9833,SEA-011,1996,spring,3.25
57.6167,23.6167,SEA-011,1996,spring,3.05
57.6,24.1167,SEA-011,1996,spring,2.25
57.35,24.0833,SEA-011,1996,spring,2.1
57.315,24.3733,LAT-004,1996,spring,2.65
57.3,23.85,SEA-011,1996,spring,2.55
57.1667,23.6667,SEA-011,1996,spring,2.15
57.0467,23.4867,LAT-003,1996,spring,1.8
57.4,23.4833,SEA-011,1996,spring,3
57.1683,24.25,LAT-005,1996,spring,2.2
57.3,23.85,SEA-011,1996,summer,3.3
57.1667,23.9333,LAT-005,1996,summer,3.75
57.1,23.9833,LAT-005,1996,summer,2
57.0833,24.0017,LAT-005,1996,summer,2.1
57.025,23.92,LAT-005,1996,summer,2.25
57.0467,23.4867,LAT-003,1996,summer,3.13333333333333
57.315,24.3733,LAT-004,1996,summer,2.8
57.1683,24.25,LAT-005,1996,summer,2.7
57.4167,23.7667,SEA-011,1996,summer,3.55
57.6167,23.6167,SEA-011,1996,summer,3.7
57.1667,23.6667,SEA-011,1996,summer,3.3
56.9767,23.705,LAT-005,1996,summer,3.1
56.98,23.7433,LAT-005,1996,summer,2.95
57.0433,23.9683,LAT-005,1996,summer,3
57.0986,24.097,LAT-005,1996,summer,3.25
57.24,24.3667,LAT-005,1996,summer,2.9
57.35,24.0833,SEA-011,1996,summer,4
57.4,23.4833,SEA-011,1996,summer,3.5
57.0833,24.0017,LAT-005,1996,autumn,2.6
57.1,23.9833,LAT-005,1996,autumn,2.86666666666667
57.1683,24.25,LAT-005,1996,autumn,3
57.315,24.3733,LAT-004,1996,autumn,3.8
57.35,24.0833,SEA-011,1996,autumn,2
