longitude,latitude,visit_date,transparency_m,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.85,57.3,2004-01-23T12:10:00Z,3.75,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23,1,2004,2004,Dec-01:Mar-01,TRUE,winter
23.9833,57.1,2004-02-10T13:20:00Z,1.6,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,10,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.85,57.3,2004-02-28T12:40:00Z,3,12,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,28,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.9833,57.1,2004-02-28T15:10:00Z,2.1,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,28,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.9833,57.1,2004-03-23T09:20:00Z,2.3,9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23,3,2004,2004,Mar-02:May-30,TRUE,spring
23.85,57.3,2004-03-24T11:45:00Z,4.3,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24,3,2004,2004,Mar-02:May-30,TRUE,spring
23.9833,57.1,2004-04-05T10:55:00Z,0.9,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.85,57.3,2004-04-05T15:00:00Z,1.6,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.85,57.3,2004-04-24T17:13:00Z,2,11,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9833,57.1,2004-05-21T14:00:00Z,2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,21,5,2004,2004,Mar-02:May-30,TRUE,spring
