HELCOM_ID,Year_adj_generated,group_labels,transparency_m
SEA-011,2004,winter,3.16875
LAT-005,2004,winter,1.75
LAT-005,2004,spring,1.74654761904762
SEA-011,2004,spring,2.60833333333333
LAT-003,2004,spring,3.5375
LAT-004,2004,spring,2.46428571428571
LAT-005,2004,summer,2.36060606060606
LAT-004,2004,summer,2.62142857142857
SEA-011,2004,summer,2.97307692307692
LAT-003,2004,summer,2.7875
LAT-005,2004,autumn,2.78333333333333
LAT-004,2004,autumn,2.99
SEA-011,2004,autumn,3.91481481481481
LAT-003,2004,autumn,2.98125
SEA-011,2005,winter,2.35
LAT-003,2005,winter,1.83333333333333
LAT-005,2005,winter,2.07857142857143
LAT-005,1996,spring,2.075
SEA-011,1996,spring,2.62142857142857
LAT-004,1996,spring,2.65
LAT-003,1996,spring,1.8
SEA-011,1996,summer,3.55833333333333
LAT-005,1996,summer,2.8
LAT-003,1996,summer,3.13333333333333
LAT-004,1996,summer,2.8
LAT-005,1996,autumn,3.07333333333333
LAT-004,1996,autumn,3.8
SEA-011,1996,autumn,3.275
LAT-003,1996,autumn,2.4
LAT-005,2008,winter,2.23333333333333
SEA-011,2008,winter,2.2
SEA-011,2008,spring,2.76538461538462
LAT-004,2008,spring,2.34666666666667
LAT-003,2008,spring,3.2875
LAT-005,2008,spring,1.88333333333333
LAT-005,2008,summer,2.65833333333333
LAT-004,2008,summer,3.43333333333333
SEA-011,2008,summer,3.91666666666667
LAT-003,2008,summer,3
LAT-005,2008,autumn,2.2625
LAT-003,2008,autumn,2.8
SEA-011,2008,autumn,3.14583333333333
LAT-004,2008,autumn,2.27
LAT-003,2016,winter,4.25
SEA-011,2016,winter,4.16666666666667
LAT-004,2016,winter,4
LAT-005,2016,winter,3.8
LAT-005,2016,spring,1.91555555555556
LAT-005,2016,autumn,2.0625
SEA-011,2016,spring,2.59666666666667
LAT-003,2016,spring,2.8
LAT-004,2016,spring,2.67
SEA-011,2016,summer,3.2962962962963
LAT-005,2016,summer,2.42
EST-019,2016,spring,3.6
LAT-003,2016,summer,2.825
LAT-004,2016,summer,2.5
SEA-011,2016,autumn,3.18666666666667
LAT-003,2016,autumn,2.76666666666667
LAT-004,2016,autumn,3.5
LAT-005,1976,spring,1.6
SEA-011,1976,spring,3.72307692307692
EST-019,1976,spring,4.875
LAT-005,1976,summer,2.5
SEA-011,1976,summer,4.70890804597701
EST-019,1976,summer,4.975
EST-018,1976,spring,2.625
EST-013,1976,spring,2.25
EST-013,1976,summer,2.26666666666667
LAT-004,1976,summer,4.8
EST-018,1976,summer,3.63333333333334
SEA-011,1976,autumn,3.9375
EST-013,1976,autumn,1.5
EST-018,1976,autumn,2.5
EST-019,1976,autumn,4
SEA-011,1988,winter,2.1
EST-019,1988,winter,1.6
SEA-011,1988,spring,3.31888888888889
EST-019,1988,spring,3.61666666666667
LAT-005,1988,spring,2
EST-018,1988,spring,4
LAT-005,1988,summer,3.9
SEA-011,1988,summer,4.20555555555556
EST-019,1988,summer,4.05
EST-019,2000,winter,3.2
SEA-011,2000,winter,3.5
LAT-005,1998,winter,1.575
SEA-011,1998,winter,4.05
SEA-011,1998,spring,2.41969696969697
LAT-005,1998,spring,1.90793650793651
LAT-004,1998,spring,1.70714285714286
LAT-003,1998,spring,2.1
EST-019,1998,spring,2
"",1998,spring,1.5
LAT-005,1998,summer,1.77083333333333
"",1998,summer,1.88571428571429
LAT-003,1998,summer,2.2
SEA-011,1998,summer,2.76025641025641
LAT-004,1998,summer,1.49090909090909
EST-019,1998,summer,2.6
LAT-005,1998,autumn,2.30409090909091
"",1998,autumn,2.03571428571429
LAT-004,1998,autumn,2.33636363636364
SEA-011,1998,autumn,3.86566666666667
LAT-003,1998,autumn,3.75
SEA-011,1999,winter,3.49166666666667
LAT-003,1999,winter,2.5
LAT-005,1999,winter,2.8
LAT-005,1990,spring,1.36
SEA-011,1990,spring,2.51666666666667
LAT-004,1990,spring,1.625
LAT-003,1990,spring,2
EST-017,1990,spring,3.3
EST-018,1990,spring,2.9
EST-019,1990,spring,3.2
SEA-011,1990,summer,2.70909090909091
EST-019,1990,summer,3.95
LAT-005,1990,summer,2.34
LAT-003,1990,summer,2.2
LAT-004,1990,summer,2.1
EST-017,1990,summer,2.33333333333333
EST-018,1990,summer,2.06666666666667
LAT-005,1990,autumn,3.2
SEA-011,1990,autumn,3.53333333333333
LAT-004,1990,autumn,3
LAT-003,1990,autumn,3.8
EST-018,1990,autumn,3.15
EST-017,1990,autumn,2.1
EST-019,1990,autumn,3.65
LAT-005,1981,spring,1.5
SEA-011,1981,spring,2.78571428571429
SEA-011,2010,spring,2.37368421052632
LAT-003,2010,spring,3.03333333333333
LAT-004,2010,spring,2.65
LAT-005,2010,spring,1.45555555555556
LAT-005,2010,summer,3.21428571428571
SEA-011,2010,summer,4.38461538461538
LAT-003,2010,summer,3.55
LAT-004,2010,summer,3.275
SEA-011,1987,spring,3.45833333333333
EST-019,1987,spring,2.75
LAT-005,1987,summer,2.5
SEA-011,1987,summer,3.48076923076923
EST-019,1987,summer,4.08333333333333
LAT-005,1987,spring,1.5
EST-018,1987,summer,4
SEA-011,1987,autumn,3.6
EST-019,1987,autumn,2.5
LAT-005,1987,autumn,1
LAT-005,2001,winter,2.1
SEA-011,2001,winter,3.175
SEA-011,2001,spring,2.64830659536542
LAT-005,2001,spring,1.29175485008818
LAT-003,2001,spring,3.5
LAT-004,2001,spring,1.73055555555556
EST-019,2001,spring,2.6
LAT-005,2001,summer,2.57
LAT-003,2001,summer,2.78333333333334
SEA-011,2001,summer,3.46917874396135
LAT-004,2001,summer,2.81666666666667
SEA-011,2001,autumn,3.06833333333333
LAT-005,2001,autumn,2.485
LAT-003,2001,autumn,2.5
LAT-004,2001,autumn,2.35
SEA-011,2002,winter,2.39166666666667
LAT-005,2002,winter,1.81111111111111
SEA-011,2007,winter,2.44285714285714
LAT-003,2007,winter,2.625
LAT-005,2007,winter,1.775
SEA-011,2007,spring,2.58333333333333
LAT-003,2007,spring,3.2375
LAT-004,2007,spring,1.95
LAT-005,2007,spring,1.82222222222222
LAT-005,2007,summer,2.925
LAT-004,2007,summer,2.5375
SEA-011,2007,summer,3.30909090909091
LAT-003,2007,summer,3.0625
LAT-004,2007,autumn,2.8
SEA-011,2007,autumn,3.59
LAT-005,2007,autumn,3.25
LAT-003,2007,autumn,3.25
SEA-011,1978,spring,3.36538461538462
LAT-005,1978,spring,1.9
EST-019,1978,spring,5
SEA-011,1978,summer,4.6875
LAT-005,1978,summer,2.5
EST-019,1978,summer,4.75
SEA-011,1978,autumn,4.33333333333333
LAT-005,2021,summer,2.08333333333333
LAT-005,2021,spring,1.705
SEA-011,2021,spring,2.39333333333333
LAT-003,2021,spring,4.075
LAT-004,2021,spring,2.24
SEA-011,2021,summer,2.925
LAT-003,2021,summer,3
LAT-004,2021,summer,2.18
LAT-004,2021,autumn,2.4
SEA-011,2021,autumn,2.72857142857143
LAT-005,2021,autumn,2.5
LAT-003,2021,autumn,2.4
SEA-011,2013,spring,2.82083333333333
LAT-005,2013,spring,1.875
LAT-004,2013,spring,1.75
LAT-003,2013,spring,1.66666666666667
SEA-011,2013,summer,3.6875
EST-018,2013,summer,4.3
LAT-004,2013,summer,3.90138888888889
LAT-005,2013,summer,3.715
LAT-003,2013,summer,4.5125
SEA-011,2013,autumn,5.17083333333333
EST-018,2013,autumn,4.2
LAT-005,2013,autumn,3.23571428571429
LAT-004,2013,autumn,2.6
LAT-005,2002,spring,2.1102947845805
SEA-011,2002,spring,2.63541666666667
LAT-003,2002,spring,2.61875
LAT-004,2002,spring,2.44285714285714
LAT-005,2002,summer,2.77104166666667
LAT-004,2002,summer,2.60952380952381
SEA-011,2002,summer,3.83623188405797
LAT-003,2002,summer,2.6
LAT-005,2002,autumn,3.06316137566138
LAT-004,2002,autumn,3.07857142857143
SEA-011,2002,autumn,3.90925925925926
LAT-003,2002,autumn,3.3
SEA-011,2003,winter,2.8
LAT-005,2003,winter,2.9
SEA-011,1979,spring,2.83928571428571
EST-019,1979,spring,3.125
LAT-005,1979,spring,1.2
SEA-011,1979,summer,5.09090909090909
SEA-011,1979,autumn,5.375
LAT-004,2022,spring,1.96
SEA-011,2022,spring,2.728
LAT-003,2022,spring,3.125
LAT-005,2022,spring,1.83
SEA-011,2022,summer,3.10625
LAT-003,2022,summer,2.93333333333333
LAT-004,2022,summer,3.2
LAT-005,2022,summer,2.33333333333333
LAT-004,2022,autumn,7.52
SEA-011,2022,autumn,3.87
LAT-005,2022,autumn,2.7
