group_labels,HELCOM_ID,period,Tau_Value,P_Value
autumn,LAT-003,1990:2023,-0.0214863400906324,0.870393633842468
spring,LAT-003,1990:2023,-0.0501347929239273,0.688781321048737
summer,LAT-003,1974:2023,-0.31255504488945,0.00146907579619437
autumn,LAT-004,1990:2023,-0.0501347929239273,0.688781321048737
spring,LAT-004,1990:2023,-0.0517858006060123,0.678013324737549
summer,LAT-004,1976:2023,-0.338652431964874,0.000708307314198464
autumn,LAT-005,1974:2023,-0.199428036808968,0.0420652702450752
spring,LAT-005,1974:2023,-0.0114707862958312,0.913377046585083
summer,LAT-005,1971:2023,-0.088355116546154,0.356890201568604
autumn,SEA-011,1971:2023,-0.427586197853088,6.46732678433182e-06
spring,SEA-011,1973:2023,-0.408627450466156,2.40484187088441e-05
summer,SEA-011,1971:2023,-0.384615391492844,4.95367821713444e-05
