longitude,visit_date,color_id,latitude,fid,station_vi,transparen,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,geometry,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.85,2004-01-23T12:10:00Z,13,57.3,397,204001,3.75,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,23,1,2004,2004,Dec-01:Mar-01,TRUE,winter
24.0017,2004-01-23T14:50:00Z,21,57.0833,398,204002,2.5,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,23,1,2004,2004,Dec-01:Mar-01,TRUE,winter
24.0017,2004-02-10T12:15:00Z,19,57.0833,399,204005,1.5,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,10,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.9833,2004-02-10T13:20:00Z,18,57.1,400,204006,1.6,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,10,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.808,2004-02-22T15:20:00Z,12,57.128166,401,204007,1.4,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.808|57.128166,22,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.6667,2004-02-27T12:00:00Z,11,57.1667,402,204008,3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6667|57.1667,27,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.4833,2004-02-27T14:25:00Z,11,57.4,403,204009,3.5,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.4833|57.4,27,2,2004,2004,Dec-01:Mar-01,TRUE,winter
24.0833,2004-02-28T09:15:00Z,12,57.35,404,204012,2.8,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.0833|57.35,28,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.85,2004-02-28T12:40:00Z,12,57.3,405,204013,3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,28,2,2004,2004,Dec-01:Mar-01,TRUE,winter
23.9833,2004-02-28T15:10:00Z,17,57.1,406,204014,2.1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,28,2,2004,2004,Dec-01:Mar-01,TRUE,winter
24.0017,2004-03-11T12:50:00Z,21,57.0833,407,204017,1.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,11,3,2004,2004,Mar-02:May-30,TRUE,spring
23.9565,2004-03-11T14:50:00Z,19,57.1243,408,204018,3.5,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9565|57.1243,11,3,2004,2004,Mar-02:May-30,TRUE,spring
24.0017,2004-03-23T08:40:00Z,17,57.0833,409,204020,1.6,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,23,3,2004,2004,Mar-02:May-30,TRUE,spring
23.9833,2004-03-23T09:20:00Z,9,57.1,410,204021,2.3,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,23,3,2004,2004,Mar-02:May-30,TRUE,spring
23.9333,2004-03-23T10:20:00Z,9,57.1667,411,204022,4,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667,23,3,2004,2004,Mar-02:May-30,TRUE,spring
23.6667,2004-03-23T12:05:00Z,9,57.1667,412,204023,4,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6667|57.1667,23,3,2004,2004,Mar-02:May-30,TRUE,spring
23.4833,2004-03-23T14:25:00Z,9,57.4,413,204024,5.5,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.4833|57.4,23,3,2004,2004,Mar-02:May-30,TRUE,spring
22.9833,2004-03-23T17:10:00Z,9,57.5667,414,204025,4.8,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,22.9833|57.5667,23,3,2004,2004,Mar-02:May-30,TRUE,spring
24.1167,2004-03-24T07:55:00Z,9,57.6,415,204027,4.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.1167|57.6,24,3,2004,2004,Mar-02:May-30,TRUE,spring
24.0833,2004-03-24T10:15:00Z,13,57.35,416,204028,4.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.0833|57.35,24,3,2004,2004,Mar-02:May-30,TRUE,spring
23.85,2004-03-24T11:45:00Z,9,57.3,417,204029,4.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,24,3,2004,2004,Mar-02:May-30,TRUE,spring
24.0005,2004-04-04T11:10:00Z,21,57.0838,418,204032,0.7,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0005|57.0838,4,4,2004,2004,Mar-02:May-30,TRUE,spring
24.0083,2004-04-04T11:30:00Z,21,57.0883,419,204033,0.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0083|57.0883,4,4,2004,2004,Mar-02:May-30,TRUE,spring
24.011,2004-04-04T11:40:00Z,21,57.0895,420,204034,0.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.011|57.0895,4,4,2004,2004,Mar-02:May-30,TRUE,spring
24.0147,2004-04-04T11:45:00Z,21,57.092,421,204035,0.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0147|57.092,4,4,2004,2004,Mar-02:May-30,TRUE,spring
24.0057,2004-04-04T12:15:00Z,21,57.1052,422,204036,0.9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0057|57.1052,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9805,2004-04-04T12:40:00Z,13,57.1275,423,204037,1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9805|57.1275,4,4,2004,2004,Mar-02:May-30,TRUE,spring
