longitude,latitude,HELCOM_ID,Year_adj_generated,group_labels,transparen
23.85,57.3,SEA-011,2004,winter,3.7375
24.0017,57.0833,LAT-005,2004,winter,1.65
23.9833,57.1,LAT-005,2004,winter,1.85
23.808,57.128166,LAT-005,2004,winter,1.4
23.6667,57.1667,SEA-011,2004,winter,3
23.4833,57.4,SEA-011,2004,winter,3.5
24.0833,57.35,SEA-011,2004,winter,2.8
24.0017,57.0833,LAT-005,2004,spring,1.52
23.9565,57.1243,LAT-005,2004,spring,3
23.9833,57.1,LAT-005,2004,spring,1.73333333333333
23.9333,57.1667,LAT-005,2004,spring,2.4
23.6667,57.1667,SEA-011,2004,spring,2.35
23.4833,57.4,SEA-011,2004,spring,3.4
22.9833,57.5667,SEA-011,2004,spring,3.75
24.1167,57.6,SEA-011,2004,spring,3.33333333333333
24.0833,57.35,SEA-011,2004,spring,3.33333333333333
23.85,57.3,SEA-011,2004,spring,2.7
24.0005,57.0838,LAT-005,2004,spring,0.7
24.0083,57.0883,LAT-005,2004,spring,0.8
24.011,57.0895,LAT-005,2004,spring,0.8
24.0147,57.092,LAT-005,2004,spring,0.8
24.0057,57.1052,LAT-005,2004,spring,0.9
23.9805,57.1275,LAT-005,2004,spring,1
23.9537,57.1467,LAT-005,2004,spring,1
23.9433,57.155,LAT-005,2004,spring,1
23.935,57.1642,LAT-005,2004,spring,1.1
23.9355,57.1748,LAT-005,2004,spring,1.1
23.8573,57.2698,SEA-011,2004,spring,1.5
23.8458,57.2898,SEA-011,2004,spring,1.2
23.8143,57.3538,SEA-011,2004,spring,1.4
23.7848,57.3908,SEA-011,2004,spring,2
23.6805,57.3788,SEA-011,2004,spring,2.3
23.697,57.3673,SEA-011,2004,spring,2
23.7785,57.3005,SEA-011,2004,spring,1.7
23.8025,57.2785,SEA-011,2004,spring,1.7
23.8378,57.2407,SEA-011,2004,spring,1.7
23.8805,57.2,LAT-005,2004,spring,1
23.937,57.1453,LAT-005,2004,spring,1
23.9668,57.1087,LAT-005,2004,spring,0.8
22.8167,57.5333,LAT-003,2004,spring,3.75
23.7667,57.4167,SEA-011,2004,spring,2.8
23.6167,57.6167,SEA-011,2004,spring,2.45
24.097,57.0986,LAT-005,2004,spring,1.9
24.25,57.1683,LAT-005,2004,spring,1.9
24.2167,57.1833,LAT-005,2004,spring,2.55
24.3667,57.24,LAT-005,2004,spring,2
24.3733,57.315,LAT-004,2004,spring,1.8
24.3533,57.4483,LAT-004,2004,spring,1.85
24.3367,57.5933,LAT-004,2004,spring,2.1
24.2976,57.5922,SEA-011,2004,spring,2.3
24.315,57.7467,LAT-004,2004,spring,2.5
24.2005,57.7663,SEA-011,2004,spring,2.7
24.3085,57.856,LAT-004,2004,spring,2.8
24.2433,57.88,SEA-011,2004,spring,2.8
24.0665,57.8827,SEA-011,2004,spring,3
23.9167,57.85,SEA-011,2004,spring,3.1
23.9792,57.0737,LAT-005,2004,spring,2.5
22.41,57.8433,SEA-011,2004,spring,4
22.8833,57.7976,SEA-011,2004,spring,4.2
22.6167,57.7333,LAT-003,2004,spring,4.8
23.07,57.3967,LAT-004,2004,spring,3.2
23.2508,57.3331,SEA-011,2004,spring,3.2
23.1765,57.3268,LAT-004,2004,spring,3
23.3267,57.1682,SEA-011,2004,spring,2.9
23.254,57.1667,LAT-003,2004,spring,2.8
23.4867,57.0467,LAT-003,2004,spring,2.8
23.705,56.9767,LAT-005,2004,spring,2.9
23.7433,56.98,LAT-005,2004,spring,3
23.8129,57.0862,LAT-005,2004,spring,3.2
23.8883,57.055,LAT-005,2004,spring,3.1
23.92,57.025,LAT-005,2004,spring,2.7
23.9683,57.0433,LAT-005,2004,spring,2.5
24.0017,57.0833,LAT-005,2004,summer,2
23.9833,57.1,LAT-005,2004,summer,2.43333333333333
24.25,57.1683,LAT-005,2004,summer,2.43333333333333
24.3733,57.315,LAT-004,2004,summer,2.7
24.3533,57.4483,LAT-004,2004,summer,2.95
24.2717,57.4415,SEA-011,2004,summer,2.8
24.0833,57.35,SEA-011,2004,summer,2.9
23.85,57.3,SEA-011,2004,summer,2.9
23.6667,57.1667,SEA-011,2004,summer,2.8
23.4867,57.0467,LAT-003,2004,summer,2.25
23.92,57.025,LAT-005,2004,summer,2
24.1167,57.6,SEA-011,2004,summer,3.05
22.6167,57.7333,LAT-003,2004,summer,3.5
22.8833,57.7976,SEA-011,2004,summer,3
22.41,57.8433,SEA-011,2004,summer,3.5
22.8167,57.5333,LAT-003,2004,summer,3
22.9833,57.5667,SEA-011,2004,summer,3
23.07,57.3967,LAT-004,2004,summer,2.6
23.1765,57.3268,LAT-004,2004,summer,2.8
23.4833,57.4,SEA-011,2004,summer,2.6
23.254,57.1667,LAT-003,2004,summer,2.4
24.3367,57.5933,LAT-004,2004,summer,2.6
24.315,57.7467,LAT-004,2004,summer,2.4
24.3085,57.856,LAT-004,2004,summer,2.3
24.2433,57.88,SEA-011,2004,summer,2.5
24.0665,57.8827,SEA-011,2004,summer,3.2
23.9167,57.85,SEA-011,2004,summer,3.2
23.6167,57.6167,SEA-011,2004,summer,3.2
24.3667,57.24,LAT-005,2004,summer,2.9
24.097,57.0986,LAT-005,2004,summer,2.6
23.9792,57.0737,LAT-005,2004,summer,2.1
23.9683,57.0433,LAT-005,2004,summer,2.5
23.7433,56.98,LAT-005,2004,summer,2
23.705,56.9767,LAT-005,2004,summer,2
23.9333,57.1667,LAT-005,2004,summer,3
24.0017,57.0833,LAT-005,2004,autumn,2.6
23.9833,57.1,LAT-005,2004,autumn,2.775
24.097,57.0986,LAT-005,2004,autumn,2.53333333333333
24.25,57.1683,LAT-005,2004,autumn,2.1
24.3667,57.24,LAT-005,2004,autumn,2.65
24.3733,57.315,LAT-004,2004,autumn,2.7
23.6667,57.1667,SEA-011,2004,autumn,3.6
23.4833,57.4,SEA-011,2004,autumn,3.9
22.9833,57.5667,SEA-011,2004,autumn,3.73333333333333
22.8167,57.5333,LAT-003,2004,autumn,3
23.07,57.3967,LAT-004,2004,autumn,2.9
23.4867,57.0467,LAT-003,2004,autumn,2.825
23.7433,56.98,LAT-005,2004,autumn,3.1
23.92,57.025,LAT-005,2004,autumn,2.575
23.9683,57.0433,LAT-005,2004,autumn,2.5
23.9792,57.0737,LAT-005,2004,autumn,2.73333333333333
24.3367,57.5933,LAT-004,2004,autumn,3.15
24.1167,57.6,SEA-011,2004,autumn,4.1
23.6167,57.6167,SEA-011,2004,autumn,5
23.705,56.9767,LAT-005,2004,autumn,2.95
22.6167,57.7333,LAT-003,2004,autumn,3.8
22.8833,57.7976,SEA-011,2004,autumn,3.6
23.9333,57.1667,LAT-005,2004,autumn,4.1
23.85,57.3,SEA-011,2004,autumn,4.5
23.7667,57.4167,SEA-011,2004,autumn,4.8
24.2433,57.88,SEA-011,2004,autumn,2
24.3533,57.4483,LAT-004,2004,autumn,3.7
23.1765,57.3268,LAT-004,2004,autumn,2.5
23.254,57.1667,LAT-003,2004,autumn,2.3
23.85,57.3,SEA-011,2005,winter,2.35
23.6667,57.1667,SEA-011,2005,winter,2.7
23.4867,57.0467,LAT-003,2005,winter,2.3
23.92,57.025,LAT-005,2005,winter,1.65
24.0017,57.0833,LAT-005,1996,spring,1.9
23.9833,57.1,LAT-005,1996,spring,2
23.92,57.025,LAT-005,1996,spring,2.2
22.9833,57.5667,SEA-011,1996,spring,3.25
23.6167,57.6167,SEA-011,1996,spring,3.05
24.1167,57.6,SEA-011,1996,spring,2.25
24.0833,57.35,SEA-011,1996,spring,2.1
24.3733,57.315,LAT-004,1996,spring,2.65
23.85,57.3,SEA-011,1996,spring,2.55
23.6667,57.1667,SEA-011,1996,spring,2.15
23.4867,57.0467,LAT-003,1996,spring,1.8
23.4833,57.4,SEA-011,1996,spring,3
24.25,57.1683,LAT-005,1996,spring,2.2
23.85,57.3,SEA-011,1996,summer,3.3
23.9333,57.1667,LAT-005,1996,summer,3.75
23.9833,57.1,LAT-005,1996,summer,2
24.0017,57.0833,LAT-005,1996,summer,2.1
23.92,57.025,LAT-005,1996,summer,2.25
23.4867,57.0467,LAT-003,1996,summer,3.13333333333333
24.3733,57.315,LAT-004,1996,summer,2.8
24.25,57.1683,LAT-005,1996,summer,2.7
23.7667,57.4167,SEA-011,1996,summer,3.55
23.6167,57.6167,SEA-011,1996,summer,3.7
23.6667,57.1667,SEA-011,1996,summer,3.3
23.705,56.9767,LAT-005,1996,summer,3.1
23.7433,56.98,LAT-005,1996,summer,2.95
23.9683,57.0433,LAT-005,1996,summer,3
24.097,57.0986,LAT-005,1996,summer,3.25
24.3667,57.24,LAT-005,1996,summer,2.9
24.0833,57.35,SEA-011,1996,summer,4
23.4833,57.4,SEA-011,1996,summer,3.5
24.0017,57.0833,LAT-005,1996,autumn,2.6
23.9833,57.1,LAT-005,1996,autumn,2.86666666666667
24.25,57.1683,LAT-005,1996,autumn,3
24.3733,57.315,LAT-004,1996,autumn,3.8
24.0833,57.35,SEA-011,1996,autumn,2
23.6167,57.6167,SEA-011,1996,autumn,3.6
23.85,57.3,SEA-011,1996,autumn,3.7
23.6667,57.1667,SEA-011,1996,autumn,3.8
23.4867,57.0467,LAT-003,1996,autumn,2.4
23.92,57.025,LAT-005,1996,autumn,2.1
23.9333,57.1667,LAT-005,1996,autumn,4.8
24.0017,57.0833,LAT-005,2008,winter,2
23.9833,57.1,LAT-005,2008,winter,2.8
23.9333,57.1667,LAT-005,2008,winter,1.9
23.85,57.3,SEA-011,2008,winter,2.2
22.41,57.8433,SEA-011,2008,spring,2.9
22.8833,57.7976,SEA-011,2008,spring,2.55
22.9833,57.5667,SEA-011,2008,spring,2.55
23.6167,57.6167,SEA-011,2008,spring,2.35
23.4833,57.4,SEA-011,2008,spring,2.4
23.07,57.3967,LAT-004,2008,spring,3
23.254,57.1667,LAT-003,2008,spring,2.85
23.4867,57.0467,LAT-003,2008,spring,3.1
23.7433,56.98,LAT-005,2008,spring,2.95
23.92,57.025,LAT-005,2008,spring,2.2
23.8883,57.055,LAT-005,2008,spring,1.85
24.0017,57.0833,LAT-005,2008,spring,1.3
23.9833,57.1,LAT-005,2008,spring,1.55
23.9333,57.1667,LAT-005,2008,spring,1.95
24.0833,57.35,SEA-011,2008,spring,3
24.3533,57.4483,LAT-004,2008,spring,2.43333333333333
24.3733,57.315,LAT-004,2008,spring,1.9
24.25,57.1683,LAT-005,2008,spring,1.45
24.2167,57.1833,LAT-005,2008,spring,1.9
24.2433,57.88,SEA-011,2008,spring,2.7
23.9167,57.85,SEA-011,2008,spring,3.45
24.315,57.7467,LAT-004,2008,spring,2.15
24.1167,57.6,SEA-011,2008,spring,3.05
23.7667,57.4167,SEA-011,2008,spring,3.4
22.6167,57.7333,LAT-003,2008,spring,4.2
22.8167,57.5333,LAT-003,2008,spring,3
23.6667,57.1667,SEA-011,2008,spring,2.1
23.9565,57.1243,LAT-005,2008,spring,1.8
23.85,57.3,SEA-011,2008,spring,3
24.3367,57.5933,LAT-004,2008,spring,2.25
24.2867,57.3133,SEA-011,2008,spring,2.5
24.0017,57.0833,LAT-005,2008,summer,2
23.9833,57.1,LAT-005,2008,summer,2.13333333333333
24.2167,57.1833,LAT-005,2008,summer,3.53333333333333
24.3733,57.315,LAT-004,2008,summer,3.43333333333333
23.9333,57.1667,LAT-005,2008,summer,3.1
23.7433,56.98,LAT-005,2008,summer,2.63333333333333
23.8883,57.055,LAT-005,2008,summer,2.46666666666667
23.92,57.025,LAT-005,2008,summer,2.55
23.85,57.3,SEA-011,2008,summer,4.75
23.6667,57.1667,SEA-011,2008,summer,3
23.4867,57.0467,LAT-003,2008,summer,3
24.25,57.1683,LAT-005,2008,summer,2.85
24.0833,57.35,SEA-011,2008,summer,4
23.92,57.025,LAT-005,2008,autumn,1.85
23.8883,57.055,LAT-005,2008,autumn,2.2
23.9833,57.1,LAT-005,2008,autumn,2.15
24.0017,57.0833,LAT-005,2008,autumn,1.8
24.2167,57.1833,LAT-005,2008,autumn,3
23.7433,56.98,LAT-005,2008,autumn,3
23.4867,57.0467,LAT-003,2008,autumn,2.7
23.6667,57.1667,SEA-011,2008,autumn,2.25
23.9333,57.1667,LAT-005,2008,autumn,3.1
23.85,57.3,SEA-011,2008,autumn,3.65
24.0833,57.35,SEA-011,2008,autumn,3.65
24.3533,57.4483,LAT-004,2008,autumn,2.65
24.3367,57.5933,LAT-004,2008,autumn,1.5
24.1167,57.6,SEA-011,2008,autumn,2.2
24.315,57.7467,LAT-004,2008,autumn,1.7
24.2433,57.88,SEA-011,2008,autumn,2.5
23.9167,57.85,SEA-011,2008,autumn,3.9
22.41,57.8433,SEA-011,2008,autumn,3.7
22.8833,57.7976,SEA-011,2008,autumn,3.65
22.6167,57.7333,LAT-003,2008,autumn,2.9
22.8167,57.5333,LAT-003,2008,autumn,3.6
22.9833,57.5667,SEA-011,2008,autumn,3.1
23.6167,57.6167,SEA-011,2008,autumn,3.8
23.07,57.3967,LAT-004,2008,autumn,4
23.4833,57.4,SEA-011,2008,autumn,2.15
23.254,57.1667,LAT-003,2008,autumn,2
23.7667,57.4167,SEA-011,2008,autumn,3.2
24.25,57.1683,LAT-005,2008,autumn,1
24.3733,57.315,LAT-004,2008,autumn,1.5
22.6167,57.7333,LAT-003,2016,winter,4
22.9833,57.5667,SEA-011,2016,winter,4
23.07,57.3967,LAT-004,2016,winter,4
23.4833,57.4,SEA-011,2016,winter,4
23.9333,57.1667,LAT-005,2016,winter,4.5
23.85,57.3,SEA-011,2016,winter,4.5
24.25,57.1683,LAT-005,2016,winter,4
24.0017,57.0833,LAT-005,2016,winter,3
23.9833,57.1,LAT-005,2016,spring,2.56
24.0017,57.0833,LAT-005,2016,spring,2.08
23.9833,57.1,LAT-005,2016,autumn,2.075
24.0017,57.0833,LAT-005,2016,autumn,1.6
22.41,57.8433,SEA-011,2016,spring,4
22.8833,57.7976,SEA-011,2016,spring,3.2
22.8167,57.5333,LAT-003,2016,spring,3.5
22.9833,57.5667,SEA-011,2016,spring,3.5
23.07,57.3967,LAT-004,2016,spring,3
23.2373,57.3589,SEA-011,2016,spring,3
23.4833,57.4,SEA-011,2016,spring,2.2
23.7667,57.4167,SEA-011,2016,spring,2
23.85,57.3,SEA-011,2016,spring,1.8
24.0833,57.35,SEA-011,2016,spring,2.75
23.6167,57.6167,SEA-011,2016,spring,1.8
23.9167,57.85,SEA-011,2016,spring,2.75
23.4867,57.0467,LAT-003,2016,winter,4.5
23.7433,56.98,LAT-005,2016,winter,3.5
23.92,57.025,LAT-005,2016,winter,4
24.2433,57.88,SEA-011,2016,spring,2.85
24.315,57.7467,LAT-004,2016,spring,2.6
24.1167,57.6,SEA-011,2016,spring,2.75
24.2976,57.5922,SEA-011,2016,spring,2.35
24.3367,57.5933,LAT-004,2016,spring,2.75
24.3533,57.4483,LAT-004,2016,spring,2.5
24.25,57.1683,LAT-005,2016,spring,2
24.2167,57.1833,LAT-005,2016,spring,2.5
23.9333,57.1667,LAT-005,2016,spring,1.5
23.9565,57.1243,LAT-005,2016,spring,1.8
23.8883,57.055,LAT-005,2016,spring,1.8
23.92,57.025,LAT-005,2016,spring,1.5
23.7433,56.98,LAT-005,2016,spring,1.5
23.4867,57.0467,LAT-003,2016,spring,2.1
23.6667,57.1667,SEA-011,2016,spring,1.5
23.85,57.3,SEA-011,2016,summer,3.06666666666667
24.0017,57.0833,LAT-005,2016,summer,1.7
23.9833,57.1,LAT-005,2016,summer,2.32
23.4,58.2,EST-019,2016,spring,3.6
24.2867,57.3133,SEA-011,2016,spring,2.5
24.3733,57.315,LAT-004,2016,spring,2.5
23.6167,57.6167,SEA-011,2016,summer,3.5
23.4833,57.4,SEA-011,2016,summer,3.5
23.7667,57.4167,SEA-011,2016,summer,4
23.9333,57.1667,LAT-005,2016,summer,4
23.92,57.025,LAT-005,2016,summer,1.5
23.8883,57.055,LAT-005,2016,summer,2
23.7433,56.98,LAT-005,2016,summer,3
23.6667,57.1667,SEA-011,2016,summer,3
23.4867,57.0467,LAT-003,2016,summer,2.8
23.254,57.1667,LAT-003,2016,summer,2.5
23.2373,57.3589,SEA-011,2016,summer,3.9
23.07,57.3967,LAT-004,2016,summer,2.5
22.9833,57.5667,SEA-011,2016,summer,3.5
22.8167,57.5333,LAT-003,2016,summer,3
22.6167,57.7333,LAT-003,2016,summer,3
22.8833,57.7976,SEA-011,2016,summer,3
22.41,57.8433,SEA-011,2016,summer,2.2
23.85,57.3,SEA-011,2016,autumn,3.43333333333333
23.9333,57.1667,LAT-005,2016,autumn,2
22.8833,57.7976,SEA-011,2016,autumn,3
22.6167,57.7333,LAT-003,2016,autumn,3
22.8167,57.5333,LAT-003,2016,autumn,2.8
24.2433,57.88,SEA-011,2016,autumn,2.8
24.315,57.7467,LAT-004,2016,autumn,3
24.1167,57.6,SEA-011,2016,autumn,4
24.2976,57.5922,SEA-011,2016,autumn,2.7
24.3367,57.5933,LAT-004,2016,autumn,4
23.8883,57.055,LAT-005,2016,autumn,2.8
23.92,57.025,LAT-005,2016,autumn,2.2
23.7433,56.98,LAT-005,2016,autumn,1.7
23.4867,57.0467,LAT-003,2016,autumn,2.5
23.9833,57.1,LAT-005,1976,spring,1.6
23.85,57.3,SEA-011,1976,spring,2.75
24.0833,57.35,SEA-011,1976,spring,2.25
23.7667,57.4167,SEA-011,1976,spring,3.75
23.4833,57.4,SEA-011,1976,spring,4.25
22.8833,57.7976,SEA-011,1976,spring,3.75
23.8667,57.6,SEA-011,1976,spring,3.1
23.6167,57.6167,SEA-011,1976,spring,3.75
22.9833,57.5667,SEA-011,1976,spring,4.6
23.35,57.96,EST-019,1976,spring,4.75
24.1167,57.6,SEA-011,1976,spring,3.5
23.4,58.2,EST-019,1976,spring,5.5
24.1318,57.9683,SEA-011,1976,spring,2.95
23.9833,57.1,LAT-005,1976,summer,2.5
23.85,57.3,SEA-011,1976,summer,5
23.7667,57.4167,SEA-011,1976,summer,5
23.6167,57.6167,SEA-011,1976,summer,5.75
23.4833,57.4,SEA-011,1976,summer,5.33333333333333
24.0833,57.35,SEA-011,1976,summer,5.25
23.4,58.2,EST-019,1976,summer,5.5
23.35,57.96,EST-019,1976,summer,5.5
