group_labels,HELCOM_ID,period,Tau_Value,P_Value
spring,EST-019,1973:2017,0.00404859147965908,0.976583480834961
summer,EST-019,1971:2017,-0.509968936443329,4.75909473607317e-07
autumn,LAT-003,1990:2023,-0.0214863400906324,0.870393633842468
spring,LAT-003,1990:2023,-0.0465537346899509,0.710755109786987
summer,LAT-003,1974:2023,-0.31255504488945,0.00146907579619437
autumn,LAT-004,1990:2023,-0.0501347929239273,0.688781321048737
spring,LAT-004,1990:2023,-0.0517858006060123,0.678013324737549
summer,LAT-004,1976:2023,-0.354609876871109,0.000390639586839825
autumn,LAT-005,1974:2023,-0.199428036808968,0.0420652702450752
spring,LAT-005,1974:2023,-0.0114707862958312,0.913377046585083
summer,LAT-005,1971:2023,-0.088355116546154,0.356890201568604
winter,LAT-005,1991:2023,0.0966825112700462,0.438449740409851
autumn,SEA-011,1971:2023,-0.427586197853088,6.46732678433182e-06
spring,SEA-011,1973:2023,-0.41333332657814,1.93481700989651e-05
summer,SEA-011,1971:2023,-0.384615391492844,4.95367821713444e-05
winter,SEA-011,1987:2023,0.0435762703418732,0.714185953140259
