longitude,latitude,visit_date,transparency_m,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,geometry
23.9833,57.1,1998-02-14T12:30:00Z,1.6,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1
23.85,57.3,1998-02-14T15:35:00Z,4,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3
23.85,57.3,1998-03-11T12:20:00Z,2.5,16,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3
23.9333,57.1667,1998-03-11T15:22:00Z,1.6,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667
23.9833,57.1,1998-03-11T16:15:00Z,1.2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1
24.0017,57.0833,1998-03-11T17:15:00Z,1.1,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833
23.6167,57.6167,1998-03-25T06:30:00Z,3.9,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6167|57.6167
23.7667,57.4167,1998-03-25T08:30:00Z,3.6,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.7667|57.4167
23.85,57.3,1998-03-25T09:20:00Z,2.1,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3
23.9333,57.1667,1998-03-25T12:15:00Z,2.1,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667
23.9833,57.1,1998-03-25T13:25:00Z,1.6,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1
24.0017,57.0833,1998-03-25T14:05:00Z,1.5,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833
23.85,57.3,1998-04-07T11:30:00Z,2.4,17,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3
